ABBEY	P60005998	LAUREL-SMITH, ABBEY
	C00527754	ABBEY ROAD
ANA	H6MD08473	SOL-GUTIERREZ, ANA
	C00559229	AMERICAN NURSES ASSOCIATION INDEPENDENT EXPENDITURE POLITICAL ACTION COMMITTEE (ANA IE PAC
BEN	H8NM03196	LUJAN, BEN R
	C00580670	BENKNOWS.COM
BLACK	H0TN06257	BLACK, DIANE L
	C00567784	BLACK AMERICANS FOR A BETTER FUTURE
	C00528950	BLACK MEN VOTE
	C00558924	CT BLACK REPUBLICANS AND CONSERVATIVES
BRIAN	H6TX02079	BABIN, BRIAN
	C00568493	BRIAN TERRY SECURE BORDER PROJECT
CHRISTIE	P60008521	CHRISTIE, CHRISTOPHER J
	C00570473	STOP CHRIS CHRISTIE PAC
CLAY	H0MO01066	CLAY, WILLIAM LACY JR
	C00581256	NO WAY CLAY PAC
CORY	H6NE02133	VAN BLARCOM, CORY SCOTT
	C00568030	WOMEN SUPPORTING CORY
DAVIS	H4IL07037	DAVIS, DANNY K
	C00541532	DAVIS ADVISORY GROUP LLC DBA AMERICA CHANGE - A POLITICAL ACTION COMMITTEE
DAY	H6IL07289	DAY, THOMAS
	C00581868	NEW DAY FOR AMERICA
DEREK	H2WA06129	KILMER, DEREK
	C00571075	WHATEVER DEREK MOORE SAYS GOES
DONALD	H4NJ01084	NORCROSS, DONALD W
	C00582031	HISPANIC CITIZENS FOR DONALD TRUMP
GREEN	H4TX09095	GREEN, ALEXANDER
	C00576389	GO GREEN ARIZONA
	C00561506	GREEN HOME RELIEF
	C00580134	COALITION FOR GREEN JOBS NOW!
HALL	H2CA35100	HALL, ISADORE III
	C00563999	RESTORE TRUST IN CITY HALL
HILARY	P60008166	MYERS, HILARY HELEN
	C00566620	HILARY SHMILARY PAC
HOUSE	S6CA00576	HOUSE, PHILLIP MARCEL
	C00495028	HOUSE MAJORITY PAC
	C00363390	FRIENDS FOR A DEMOCRATIC WHITE HOUSE PAC INC
HUNTER	H8CA52052	HUNTER, DUNCAN D.
	C00541433	HUNTER ACTION FUND (HAF)
ISRAEL	H0NY02085	ISRAEL, STEVE J.
	C00572396	ISRAEL OF GOD PAC
	C00490649	US ISRAEL FRIENDSHIP PAC
	C00490409	EMERGENCY COMMITTEE FOR ISRAEL PAC
JACK	P60009008	ADAMS, JACK LYNN
	C00581173	JACKPAC
JEB	P60008059	BUSH, JEB
	C00574095	VAMOS FOR JEB 2016
JOHN	H0OH08029	BOEHNER, JOHN A.
	C00542464	JOHN BOLTON SUPER PAC
JUSTICE	P60005261	JUSTICE, BRENDA DAWN
	C00578229	JUSTICE 4 KAROLINA INITIATIVE D/B/A THE KOALITION
	C00569764	SOCIETY JUSTICE
	C00525519	SPECIAL CORPORATION FOR ETHICS AND JUSTICE IN AMERICA
